Model,AUC-PR,AUC-PR CI Low,AUC-PR CI High,AUC-ROC,AUC-ROC CI Low,AUC-ROC CI High
Random Forest (Morgan FP),0.9343877813802488,0.8680844703247217,0.9893312309713302,0.7125,0.507251818637903,0.9000390624999999
Logistic Regression (L1000),0.860037711837973,0.753532779885641,0.9561123919476124,0.4828125000000001,0.2473347547974414,0.7114177489177488
Random Classifier,0.8648648648648649,,,0.5,,
