2026-07-25 22:05:28 | 08_train_fusion | INFO | Training history saved to: C:\Users\patel\Desktop\group_project\cardiotox-fusion\results\fusion_training_history.json
2026-07-25 22:05:28 | 08_train_fusion | INFO | Loaded best checkpoint (epoch 38, val AUC=0.6093)
2026-07-25 22:05:29 | 08_train_fusion | INFO | ============================================================
2026-07-25 22:05:29 | 08_train_fusion | INFO | FUSION MODEL -- TEST SET RESULTS
2026-07-25 22:05:29 | 08_train_fusion | INFO |   AUC-ROC  : 0.6957
2026-07-25 22:05:29 | 08_train_fusion | INFO |   AUC-PR   : 0.9090
2026-07-25 22:05:29 | 08_train_fusion | INFO |   F1 Score : 0.7193
2026-07-25 22:05:29 | 08_train_fusion | INFO |   Accuracy : 0.6235
2026-07-25 22:05:29 | 08_train_fusion | INFO |   Test Loss: 0.0000
2026-07-25 22:05:29 | 08_train_fusion | INFO | ============================================================
2026-07-25 22:05:29 | 08_train_fusion | INFO | Test results saved to: C:\Users\patel\Desktop\group_project\cardiotox-fusion\results\fusion_test_results.json
2026-07-25 22:05:29 | 08_train_fusion | INFO | 08_train_fusion.py COMPLETE
