query_name,parent_smiles,inchi_key,inchikey_block,cardiotox_label,DICT_Concern,pert_id,sig_ids,match_method
VENLAFAXINE,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,PNVNVHUZROJLTJ-UHFFFAOYSA-N,PNVNVHUZROJLTJ,1,less,BRD-A51714012,['REP.A016_HA1E_24H:D07'],inchikey
HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N,LNEPOXFFQSENCJ,1,most,BRD-K67783091,['REP.A017_HA1E_24H:N07'],inchikey
PHENTERMINE,CC(C)(N)Cc1ccccc1,DHHVAGZRUROJKS-UHFFFAOYSA-N,DHHVAGZRUROJKS,1,less,BRD-K96319534,['REP.A027_HA1E_24H:G07'],inchikey
THIOGUANINE,Nc1nc2[nH]cnc2c(=S)[nH]1,WYWHKKSPHMUBEB-UHFFFAOYSA-N,WYWHKKSPHMUBEB,0,no,BRD-K49350383,['REP.A019_HA1E_24H:K19'],inchikey
PALBOCICLIB,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,AHJRHEGDXFFMBM-UHFFFAOYSA-N,AHJRHEGDXFFMBM,0,no,BRD-K51313569,"['LJP006_HA1E_24H:E13', 'REP.A016_HA1E_24H:A19']",inchikey
CHOLIC ACID,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,BHQCQFFYRZLCQQ-OELDTZBJSA-N,BHQCQFFYRZLCQQ,0,no,BRD-K43164539,['REP.A013_HA1E_24H:M13'],inchikey
rivaroxaban,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,KGFYHTZWPPHNLQ-AWEZNQCLSA-N,KGFYHTZWPPHNLQ,0,no,BRD-A50033377,['REP.A020_HA1E_24H:P19'],inchikey
SIMVASTATIN,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,RYMZZMVNJRMUDD-HGQWONQESA-N,RYMZZMVNJRMUDD,1,less,BRD-K22134346,['REP.A004_HA1E_24H:L19'],inchikey
CARIPRAZINE,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,KPWSJANDNDDRMB-QAQDUYKDSA-N,KPWSJANDNDDRMB,1,less,BRD-K57764956,['REP.A014_HA1E_24H:J19'],inchikey
MIRTAZAPINE,CN1CCN2c3ncccc3Cc3ccccc3C2C1,RONZAEMNMFQXRA-UHFFFAOYSA-N,RONZAEMNMFQXRA,1,most,BRD-A64977602,['REP.A017_HA1E_24H:I13'],inchikey
NATEGLINIDE,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,OELFLUMRDSZNSF-BRWVUGGUSA-N,OELFLUMRDSZNSF,0,no,BRD-K44353683,['REP.A013_HA1E_24H:P19'],inchikey
ANASTROZOLE,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,YBBLVLTVTVSKRW-UHFFFAOYSA-N,YBBLVLTVTVSKRW,1,less,BRD-K52172416,['REP.A007_HA1E_24H:I01'],inchikey
Lidoflazine,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,ZBIAKUMOEKILTF-UHFFFAOYSA-N,ZBIAKUMOEKILTF,1,most,BRD-K62996583,['REP.A017_HA1E_24H:H01'],inchikey
triptorelin,CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,VXKHXGOKWPXYNA-PGBVPBMZSA-N,VXKHXGOKWPXYNA,1,less,BRD-K62685538,['REP.A018_HA1E_24H:C13'],inchikey
PASIREOTIDE,NCCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2C[C@@H](OC(=O)NCCN)CN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(OCc3ccccc3)cc2)NC1=O,VMZMNAABQBOLAK-DBILLSOUSA-N,VMZMNAABQBOLAK,1,most,BRD-K59715032,['REP.A015_HA1E_24H:N01'],inchikey
ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,FELGMEQIXOGIFQ-UHFFFAOYSA-N,FELGMEQIXOGIFQ,1,most,BRD-A19736161,['REP.A004_HA1E_24H:C13'],inchikey
DEFERIPRONE,Cc1c(O)c(=O)ccn1C,TZXKOCQBRNJULO-UHFFFAOYSA-N,TZXKOCQBRNJULO,1,less,BRD-K06878038,['REP.A011_HA1E_24H:K01'],inchikey
CARFILZOMIB,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,BLMPQMFVWMYDKT-NZTKNTHTSA-N,BLMPQMFVWMYDKT,1,most,BRD-K15179879,['REP.A010_HA1E_24H:P01'],inchikey
METHIMAZOLE,Cn1ccnc1S,PMRYVIKBURPHAH-UHFFFAOYSA-N,PMRYVIKBURPHAH,0,no,BRD-K54416256,['REP.A016_HA1E_24H:J19'],inchikey
REGADENOSON,CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,LZPZPHGJDAGEJZ-AKAIJSEGSA-N,LZPZPHGJDAGEJZ,1,most,BRD-A78341343,['REP.A024_HA1E_24H:M01'],inchikey
SECNIDAZOLE,Cc1ncc([N+](=O)[O-])n1CC(C)O,KPQZUUQMTUIKBP-UHFFFAOYSA-N,KPQZUUQMTUIKBP,0,no,BRD-A70083328,['REP.A023_HA1E_24H:H13'],inchikey
AZACITIDINE,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,NMUSYJAQQFHJEW-KVTDHHQDSA-N,NMUSYJAQQFHJEW,1,less,BRD-K03406345,['LJP008_HA1E_24H:G19'],inchikey
SELUMETINIB,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,CYOHGALHFOKKQC-UHFFFAOYSA-N,CYOHGALHFOKKQC,1,most,BRD-K57080016,"['LJP006_HA1E_24H:M07', 'REP.A015_HA1E_24H:E19']",inchikey
DACOMITINIB,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,LVXJQMNHJWSHET-AATRIKPKSA-N,LVXJQMNHJWSHET,0,no,BRD-K57169635,"['LJP007_HA1E_24H:G07', 'REP.A015_HA1E_24H:F19']",inchikey
